expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
16,64,5000,456,1024,0.5955849738121033,0.0,474.11398046875,-1.0,-1.0,-1.0,0.1791724879294634
16,128,100,42,1024,3.7797675132751465,0.275390625,505.5,-1.0,-1.0,-1.0,0.396463536657393
16,128,100,123,1024,3.11287522315979,0.2548828125,479.20001220703125,-1.0,-1.0,-1.0,0.17849454749375582
16,128,100,456,1024,3.660208225250244,0.2734375,492.6000061035156,-1.0,-1.0,-1.0,0.24668975826352835
16,128,500,42,1024,1.4973225593566895,0.001953125,464.0799865722656,-1.0,-1.0,-1.0,0.524479909799993
16,128,500,123,1024,1.477197527885437,0.001953125,471.239990234375,-1.0,-1.0,-1.0,0.28897037357091904
16,128,500,456,1024,1.488118052482605,0.00390625,460.7200012207031,-1.0,-1.0,-1.0,0.2001769281923771
16,128,1000,42,1024,1.362496256828308,0.0,470.3899841308594,-1.0,-1.0,-1.0,0.18031386192888021
16,128,1000,123,1024,1.3811490535736084,0.0,466.28997802734375,-1.0,-1.0,-1.0,0.17820361256599426
16,128,1000,456,1024,1.3011651039123535,0.0,468.5999755859375,-1.0,-1.0,-1.0,0.20555999036878347
16,128,5000,42,1024,1.2073167695999145,0.0,469.23598657226563,-1.0,-1.0,-1.0,0.20731695368885994
16,128,5000,123,1024,1.2175775156021118,0.0,468.2439819335938,-1.0,-1.0,-1.0,0.19850706588476896
16,128,5000,456,1024,1.2626535263061522,0.0,470.3399919433594,-1.0,-1.0,-1.0,0.3148885564878583
32,8,100,42,2048,0.5283446907997131,0.9609375,1016.0,-1.0,-1.0,-1.0,0.45523697417229414
32,8,100,123,2048,0.5264475345611572,0.9609375,1033.5999755859375,-1.0,-1.0,-1.0,0.2841857075691223
